Date,% Higher,% Same,% Lower,Diffusion Index,% Who Do Not Perform or Do Not Measure
2014-02-01,9.0,77.0,14.0,47.5,65.0
2014-01-01,15.0,68.0,17.0,49.0,65.0
2013-12-01,13.0,77.0,10.0,51.5,65.0
2013-11-01,19.0,78.0,3.0,58.0,63.0
2013-10-01,11.0,84.0,5.0,53.0,59.0
2013-09-01,23.0,69.0,8.0,57.5,60.0
2013-08-01,11.0,79.0,10.0,50.5,60.0
2013-07-01,13.0,73.0,14.0,49.5,59.0
2013-06-01,16.0,63.0,21.0,47.5,65.0
2013-05-01,16.0,68.0,16.0,50.0,60.0
2013-04-01,22.0,63.0,15.0,53.5,69.0
2013-03-01,29.0,55.0,16.0,56.5,67.0
2013-02-01,29.0,63.0,8.0,60.5,68.0
2013-01-01,27.0,57.0,16.0,55.5,66.0
2012-12-01,15.0,69.0,16.0,49.5,68.0
2012-11-01,13.0,70.0,17.0,48.0,66.0
2012-10-01,11.0,73.0,16.0,47.5,64.0
2012-09-01,15.0,71.0,14.0,50.5,67.0
2012-08-01,20.0,64.0,16.0,52.0,63.0
2012-07-01,17.0,68.0,15.0,51.0,66.0
2012-06-01,23.0,53.0,24.0,49.5,66.0
2012-05-01,17.0,72.0,11.0,53.0,67.0
2012-04-01,26.0,64.0,10.0,58.0,66.0
2012-03-01,15.0,75.0,10.0,52.5,68.0
2012-02-01,24.0,61.0,15.0,54.5,66.0
2012-01-01,24.0,65.0,11.0,56.5,66.0
2011-12-01,16.0,70.0,14.0,51.0,71.0
2011-11-01,18.0,75.0,7.0,55.5,65.0
2011-10-01,21.0,66.0,13.0,54.0,65.0
2011-09-01,15.0,74.0,11.0,52.0,66.0
2011-08-01,20.0,73.0,7.0,56.5,61.0
2011-07-01,17.0,64.0,19.0,49.0,66.0
2011-06-01,20.0,74.0,6.0,57.0,69.0
2011-05-01,20.0,74.0,6.0,57.0,67.0
2011-04-01,20.0,67.0,13.0,53.5,66.0
2011-03-01,26.0,66.0,8.0,59.0,66.0
2011-02-01,20.0,73.0,7.0,56.5,63.0
2011-01-01,23.0,61.0,16.0,53.5,70.0
2010-12-01,24.0,64.0,12.0,56.0,67.0
2010-11-01,24.0,71.0,5.0,59.5,70.0
2010-10-01,25.0,61.0,14.0,55.5,67.0
2010-09-01,23.0,70.0,7.0,58.0,67.0
2010-08-01,10.0,73.0,17.0,46.5,67.0
2010-07-01,15.0,74.0,11.0,52.0,69.0
2010-06-01,11.0,74.0,15.0,48.0,71.0
2010-05-01,19.0,69.0,12.0,53.5,73.0
2010-04-01,17.0,80.0,3.0,57.0,70.0
2010-03-01,21.0,73.0,6.0,57.5,72.0
2010-02-01,15.0,64.0,21.0,47.0,72.0
2010-01-01,15.0,62.0,23.0,46.0,68.0
2009-12-01,13.0,66.0,21.0,46.0,72.0
2009-11-01,19.0,71.0,10.0,54.5,73.0
2009-10-01,18.0,71.0,11.0,53.5,69.0
2009-09-01,14.0,69.0,17.0,48.5,66.0
2009-08-01,27.0,54.0,19.0,54.0,70.0
2009-07-01,15.0,65.0,20.0,47.5,74.0
2009-06-01,33.0,43.0,24.0,54.5,74.0
2009-05-01,11.0,72.0,17.0,47.0,71.0
2009-04-01,12.0,73.0,15.0,48.5,74.0
2009-03-01,5.0,68.0,27.0,39.0,69.0
2009-02-01,9.0,62.0,29.0,40.0,72.0
2009-01-01,14.0,50.0,36.0,39.0,73.0
2008-12-01,14.0,51.0,35.0,39.5,73.0
2008-11-01,5.0,59.0,36.0,34.5,72.0
2008-10-01,21.0,58.0,21.0,50.0,75.0
2008-09-01,18.0,65.0,17.0,50.5,72.0
2008-08-01,9.0,71.0,20.0,44.5,74.0
2008-07-01,22.0,51.0,27.0,47.5,70.0
2008-06-01,24.0,56.0,20.0,52.0,68.0
2008-05-01,23.0,62.0,15.0,54.0,69.0
2008-04-01,18.0,61.0,21.0,48.5,68.0
2008-03-01,26.0,58.0,16.0,55.0,69.0
2008-02-01,16.0,61.0,23.0,46.5,68.0
2008-01-01,21.0,62.0,17.0,52.0,69.0
2007-12-01,22.0,56.0,22.0,50.0,70.0
2007-11-01,26.0,59.0,15.0,55.5,68.0
2007-10-01,26.0,60.0,14.0,56.0,72.0
2007-09-01,17.0,66.0,17.0,50.0,68.0
2007-08-01,19.0,69.0,12.0,53.5,72.0
2007-07-01,22.0,61.0,17.0,52.5,71.0
2007-06-01,26.0,66.0,8.0,59.0,73.0
2007-05-01,36.0,60.0,4.0,66.0,69.0
2007-04-01,23.0,65.0,12.0,55.5,69.0
2007-03-01,18.0,61.0,21.0,48.5,74.0
2007-02-01,25.0,68.0,7.0,59.0,72.0
2007-01-01,29.0,52.0,19.0,55.0,72.0
2006-12-01,32.0,59.0,9.0,61.5,72.0
2006-11-01,30.0,57.0,13.0,58.5,69.0
2006-10-01,35.0,57.0,8.0,63.5,71.0
2006-09-01,26.0,66.0,8.0,59.0,70.0
2006-08-01,20.0,66.0,14.0,53.0,69.0
2006-07-01,22.0,68.0,10.0,56.0,75.0
2006-06-01,26.0,57.0,17.0,54.5,77.0
2006-05-01,30.0,68.0,2.0,64.0,74.0
2006-04-01,28.0,63.0,9.0,59.5,75.0
2006-03-01,32.0,63.0,5.0,63.5,75.0
2006-02-01,28.0,64.0,8.0,60.0,79.0
2006-01-01,22.0,72.0,6.0,58.0,67.0
2005-12-01,34.0,55.0,11.0,61.5,78.0
2005-11-01,23.0,68.0,9.0,57.0,76.0
2005-10-01,23.0,63.0,14.0,54.5,80.0
2005-09-01,27.0,56.0,17.0,55.0,76.0
2005-08-01,32.0,63.0,5.0,63.5,78.0
2005-07-01,18.0,71.0,11.0,53.5,78.0
2005-06-01,18.0,64.0,18.0,50.0,74.0
2005-05-01,31.0,62.0,7.0,62.0,73.0
2005-04-01,17.0,71.0,12.0,52.5,77.0
2005-03-01,15.0,73.0,12.0,51.5,78.0
2005-02-01,19.0,74.0,7.0,56.0,75.0
2005-01-01,18.0,69.0,13.0,52.5,79.0
2004-12-01,18.0,75.0,7.0,55.5,76.0
2004-11-01,17.0,73.0,10.0,53.5,78.0
2004-10-01,24.0,62.0,14.0,55.0,81.0
2004-09-01,25.0,61.0,14.0,55.5,76.0
2004-08-01,19.0,72.0,9.0,55.0,77.0
2004-07-01,20.0,71.0,9.0,55.5,76.0
2004-06-01,29.0,61.0,10.0,59.5,80.0
2004-05-01,15.0,74.0,11.0,52.0,79.0
2004-04-01,27.0,70.0,3.0,62.0,78.0
2004-03-01,16.0,71.0,13.0,51.5,77.0
2004-02-01,23.0,65.0,12.0,55.5,79.0
2004-01-01,16.0,70.0,14.0,51.0,79.0
2003-12-01,24.0,67.0,9.0,57.5,79.0
2003-11-01,25.0,59.0,16.0,54.5,74.0
2003-10-01,18.0,80.0,2.0,58.0,78.0
2003-09-01,23.0,66.0,11.0,56.0,76.0
2003-08-01,24.0,69.0,7.0,58.5,74.0
2003-07-01,12.0,71.0,17.0,47.5,78.0
2003-06-01,17.0,65.0,18.0,49.5,74.0
2003-05-01,14.0,70.0,16.0,49.0,76.0
2003-04-01,16.0,73.0,11.0,52.5,80.0
2003-03-01,16.0,65.0,19.0,48.5,77.0
2003-02-01,25.0,67.0,8.0,58.5,81.0
2003-01-01,16.0,74.0,10.0,53.0,83.0
2002-12-01,16.0,76.0,8.0,54.0,80.0
2002-11-01,26.0,65.0,9.0,58.5,77.0
2002-10-01,11.0,76.0,13.0,49.0,76.0
2002-09-01,24.0,67.0,9.0,57.5,77.0
2002-08-01,11.0,70.0,19.0,46.0,78.0
2002-07-01,24.0,71.0,5.0,59.5,76.0
2002-06-01,24.0,67.0,9.0,57.5,79.0
2002-05-01,30.0,63.0,7.0,61.5,76.0
2002-04-01,10.0,85.0,5.0,52.5,74.0
2002-03-01,15.0,69.0,16.0,49.5,79.0
2002-02-01,15.0,75.0,10.0,52.5,77.0
2002-01-01,20.0,73.0,7.0,56.5,75.0
2001-12-01,21.0,68.0,11.0,55.0,73.0
2001-11-01,12.0,73.0,15.0,48.5,76.0
2001-10-01,13.0,63.0,24.0,44.5,73.0
2001-09-01,16.0,75.0,9.0,53.5,74.0
2001-08-01,13.0,69.0,18.0,47.5,74.0
2001-07-01,18.0,70.0,12.0,53.0,77.0
2001-06-01,16.0,67.0,17.0,49.5,72.0
2001-05-01,15.0,67.0,18.0,48.5,75.0
2001-04-01,22.0,67.0,11.0,55.5,75.0
2001-03-01,15.0,69.0,16.0,49.5,76.0
2001-02-01,15.0,77.0,8.0,53.5,72.0
2001-01-01,19.0,72.0,9.0,55.0,77.0
2000-12-01,24.0,65.0,11.0,56.5,74.0
2000-11-01,25.0,60.0,15.0,55.0,75.0
2000-10-01,23.0,64.0,13.0,55.0,70.0
2000-09-01,16.0,71.0,13.0,51.5,77.0
2000-08-01,18.0,76.0,6.0,56.0,77.0
2000-07-01,17.0,72.0,11.0,53.0,75.0
2000-06-01,28.0,58.0,14.0,57.0,76.0
2000-05-01,31.0,62.0,7.0,62.0,75.0
2000-04-01,19.0,80.0,1.0,59.0,76.0
2000-03-01,15.0,81.0,4.0,55.5,74.0
2000-02-01,11.0,73.0,16.0,47.5,74.0
2000-01-01,24.0,67.0,9.0,57.5,75.0
1999-12-01,24.0,68.0,8.0,58.0,78.0
1999-11-01,22.0,68.0,10.0,56.0,74.0
1999-10-01,14.0,80.0,6.0,54.0,75.0
1999-09-01,29.0,67.0,4.0,62.5,74.0
1999-08-01,24.0,68.0,8.0,58.0,74.0
1999-07-01,26.0,63.0,11.0,57.5,78.0
1999-06-01,22.0,63.0,15.0,53.5,77.0
1999-05-01,23.0,71.0,6.0,58.5,77.0
1999-04-01,24.0,65.0,11.0,56.5,77.0
1999-03-01,22.0,73.0,5.0,58.5,75.0
1999-02-01,10.0,75.0,15.0,47.5,75.0
1999-01-01,14.0,65.0,21.0,46.5,79.0
1998-12-01,12.0,74.0,14.0,49.0,78.0
1998-11-01,10.0,70.0,20.0,45.0,78.0
1998-10-01,10.0,77.0,13.0,48.5,72.0
1998-09-01,12.0,84.0,4.0,54.0,76.0
1998-08-01,19.0,70.0,11.0,54.0,73.0
1998-07-01,16.0,71.0,13.0,51.5,75.0
1998-06-01,23.0,64.0,13.0,55.0,73.0
1998-05-01,20.0,57.0,23.0,48.5,79.0
1998-04-01,27.0,59.0,14.0,56.5,79.0
1998-03-01,24.0,69.0,7.0,58.5,76.0
1998-02-01,19.0,65.0,16.0,51.5,75.0
1998-01-01,18.0,68.0,14.0,52.0,83.0
1997-12-01,12.0,73.0,15.0,48.5,75.0
1997-11-01,17.0,73.0,10.0,53.5,73.0
1997-10-01,16.0,71.0,13.0,51.5,72.0
1997-09-01,12.0,75.0,13.0,49.5,72.0
1997-08-01,18.0,79.0,3.0,57.5,70.0
1997-07-01,27.0,70.0,3.0,62.0,76.0
